image_name,centers_of_detected_circles,sensitivity,num_centers,x_displacement,y_displacement
Img_093_20200902_230100.jpg,"[[ 817.          580.64804469   79.37253933]
 [1012.91907514  579.3699422    79.37253933]
 [ 812.6097561   387.09756098   79.37253933]
 [1010.14606742  385.12921348   79.37253933]]",0.97,4,-1.554029549969865,-2.1580308077742263
Img_093_20200903_000100.jpg,"[[1012.52173913  578.78881988   79.37253933]
 [ 817.03821656  580.47770701   79.37253933]
 [ 812.68125     386.4375       79.37253933]
 [1009.82666667  384.00666667   79.37253933]]",0.97,4,-1.5738658645665673,-2.2362337377153025
Img_093_20200903_010100.jpg,"[[ 817.34659091  579.91477273   79.37253933]
 [1012.37106918  578.13836478   79.37253933]
 [ 812.80645161  385.85806452   79.37253933]
 [1009.0591716   383.27218935   79.37253933]]",0.97,4,-1.5896453350144988,-2.314700028578123
Img_093_20200903_020100.jpg,"[[1011.81818182  577.07878788   79.37253933]
 [ 812.35897436  385.30769231   79.37253933]
 [ 816.82432432  578.83783784   79.37253933]
 [1008.80645161  382.92258065   79.37253933]]",0.97,4,-1.6459883110151345,-2.5944483806822376
Img_093_20200903_030100.jpg,"[[1011.43975904  576.56024096   79.37253933]
 [ 816.9382716   578.43209877   79.37253933]
 [1008.77906977  382.51162791   79.37253933]
 [ 812.69642857  384.66666667   79.37253933]]",0.97,4,-1.7645179920418723,-2.466738045306098
Img_093_20200903_040100.jpg,"[[1011.45962733  575.8447205    79.37253933]
 [ 813.15909091  384.6875       79.37253933]
 [1008.54487179  381.87179487   79.37253933]
 [ 816.66666667  577.47798742   79.37253933]]",0.97,4,-1.7657169035323008,-2.53839491686648
Img_093_20200903_050100.jpg,"[[1011.60588235  575.81764706   79.37253933]
 [ 816.825       577.1125       79.37253933]
 [ 812.54601227  383.92638037   79.37253933]
 [1008.27325581  381.36627907   79.37253933]]",0.97,4,-1.6646357561331904,-2.593124540453733
Img_093_20200903_060100.jpg,"[[1011.95384615  574.56410256   79.37253933]
 [1008.79255319  381.           79.37253933]
 [ 812.74456522  383.16847826   79.37253933]
 [ 817.45303867  576.06077348   79.37253933]]",0.97,4,-1.613047571088197,-2.701572557128962
Img_093_20200903_070100.jpg,"[[ 812.89583333  381.94444444   79.37253933]
 [1008.71812081  379.94630872   79.37253933]
 [1012.34666667  574.05333333   79.37253933]
 [ 817.80519481  575.35064935   79.37253933]]",0.97,4,-1.7762120627119025,-2.985615358613847
Img_093_20200903_080100.jpg,"[[1008.640625    379.5          79.37253933]
 [ 812.5         381.71428571   79.37253933]
 [1011.85517241  573.83448276   79.37253933]
 [ 817.10067114  575.08053691   79.37253933]]",0.97,4,-1.8280712347384842,-3.020683243455693
Img_093_20200903_090100.jpg,"[[1008.16438356  379.12328767   79.37253933]
 [ 812.48214286  381.47619048   79.37253933]
 [1011.14285714  573.08163265   79.37253933]
 [ 816.63030303  574.63636364   79.37253933]]",0.97,4,-1.8799845704379337,-3.075578201355624
Img_093_20200903_100100.jpg,"[[ 812.82580645  381.57419355   79.37253933]
 [1011.56329114  573.60759494   79.37253933]
 [1008.60645161  379.63225806   79.37253933]
 [ 816.9556962   574.59493671   79.37253933]]",0.97,4,-1.7639201671035831,-2.865063939715702
Img_093_20200903_110100.jpg,"[[ 812.40384615  381.88461538   79.37253933]
 [1011.41007194  573.92086331   79.37253933]
 [ 817.46296296  575.42592593   79.37253933]
 [1008.53103448  379.88275862   79.37253933]]",0.97,4,-1.6502429539288048,-2.998098973405927
Img_093_20200903_120100.jpg,"[[1009.45806452  380.90322581   79.37253933]
 [1012.46405229  575.02614379   79.37253933]
 [ 813.40641711  383.02673797   79.37253933]
 [ 817.48809524  576.14285714   79.37253933]]",0.97,4,-1.5552198741386203,-2.6928374958735315
Img_093_20200903_130100.jpg,"[[1014.76470588  577.44117647   79.37253933]
 [ 814.79245283  384.55974843   79.37253933]
 [ 819.03521127  579.03521127   79.37253933]
 [1011.96350365  382.61313869   79.37253933]]",0.97,4,-1.3141016429419086,-2.6165803489805235
Img_093_20200903_140100.jpg,"[[1017.45925926  580.02222222   79.37253933]
 [ 816.58333333  386.65972222   79.37253933]
 [ 821.6137931   581.52413793   79.37253933]
 [1014.08219178  384.33561644   79.37253933]]",0.97,4,-1.0282415507330516,-2.3467449434940892
Img_093_20200903_150100.jpg,"[[ 818.42682927  388.29268293   79.37253933]
 [1016.47741935  385.96129032   79.37253933]
 [1019.36809816  582.17177914   79.37253933]
 [ 822.6         582.62285714   79.37253933]]",0.97,4,-0.9970776329401563,-2.141749010832548
Img_093_20200903_160100.jpg,"[[ 820.42307692  389.68589744   79.37253933]
 [1018.51315789  387.28947368   79.37253933]
 [ 824.96276596  584.50531915   79.37253933]
 [1021.81118881  583.2027972    79.37253933]]",0.97,4,-0.5312544235906085,-1.9804261760268194
Img_093_20200903_170100.jpg,"[[ 825.01265823  585.58227848   79.37253933]
 [ 820.71710526  390.03289474   79.37253933]
 [1018.8125      387.8125       79.37253933]
 [1021.81560284  583.65957447   79.37253933]]",0.97,4,-0.6296602508338367,-1.7113927175323287
Img_093_20200903_180100.jpg,"[[ 821.4625      390.5375       79.37253933]
 [ 825.87662338  585.69480519   79.37253933]
 [1023.11971831  584.88028169   79.37253933]
 [1020.21088435  388.38095238   79.37253933]]",0.97,4,-0.5693469060417122,-1.8263789615677002
Img_093_20200903_190100.jpg,"[[ 821.54166667  390.546875     79.37253933]
 [1019.90410959  388.04794521   79.37253933]
 [1022.77852349  584.45637584   79.37253933]
 [ 825.62359551  586.55617978   79.37253933]]",0.97,4,-0.5947364087629907,-1.821430744192785
Img_093_20200903_200100.jpg,"[[1021.32727273  584.15         79.37253933]
 [ 825.1758794   585.34170854   79.37253933]
 [1018.52795031  388.00621118   79.37253933]
 [ 820.51685393  390.93258427   79.37253933]]",0.97,4,-0.6542909988671859,-1.6691954482142055
Img_093_20200903_210100.jpg,"[[1018.55609756  388.30243902   79.37253933]
 [ 824.81909548  584.22613065   79.37253933]
 [ 819.95360825  390.34536082   79.37253933]
 [1021.05188679  583.44339623   79.37253933]]",0.97,4,-0.5682681153298184,-1.7390513939116232
Img_093_20200903_220100.jpg,"[[1016.65142857  387.16         79.37253933]
 [1020.          582.76699029   79.37253933]
 [ 823.33802817  583.61032864   79.37253933]
 [ 818.67708333  389.890625     79.37253933]]",0.97,4,-0.7490443655579302,-2.0145881918214688
Img_093_20200903_230100.jpg,"[[1015.93888889  386.16666667   79.37253933]
 [ 822.86432161  584.3718593    79.37253933]
 [ 818.54597701  388.64942529   79.37253933]
 [1018.03        581.62         79.37253933]]",0.97,4,-0.8495887649232792,-1.904029213292068
Img_093_20200904_000100.jpg,"[[ 822.54143646  582.37016575   79.37253933]
 [1017.7540107   581.03743316   79.37253933]
 [1015.16574586  385.95027624   79.37253933]
 [ 817.46153846  388.0989011    79.37253933]]",0.97,4,-1.0473997149591892,-2.0041839942410835
Img_093_20200904_010100.jpg,"[[ 821.52173913  581.42934783   79.37253933]
 [1017.66860465  580.5          79.37253933]
 [1014.0994152   384.98245614   79.37253933]
 [ 817.18562874  387.40718563   79.37253933]]",0.97,4,-1.123416925511581,-2.1002954053830596
Img_093_20200904_020100.jpg,"[[1016.5380117   579.12280702   79.37253933]
 [ 821.15591398  580.84946237   79.37253933]
 [ 816.35632184  386.82758621   79.37253933]
 [1013.15083799  384.31284916   79.37253933]]",0.97,4,-1.1049932520685886,-2.2022852669717192
Img_093_20200904_030100.jpg,"[[1012.37430168  383.16759777   79.37253933]
 [ 819.84615385  579.44970414   79.37253933]
 [1015.14285714  577.61490683   79.37253933]
 [ 816.1552795   385.58385093   79.37253933]]",0.97,4,-1.410980415891057,-2.54264456603263
Img_093_20200904_040100.jpg,"[[ 819.97297297  578.29189189   79.37253933]
 [1010.54950495  382.35148515   79.37253933]
 [1014.15882353  576.68823529   79.37253933]
 [ 815.02631579  385.37894737   79.37253933]]",0.97,4,-1.5288077396934323,-2.636679981912298
Img_093_20200904_050100.jpg,"[[ 819.6424581   578.06145251   79.37253933]
 [1014.2797619   576.16666667   79.37253933]
 [1010.65550239  381.62679426   79.37253933]
 [ 814.79310345  384.36206897   79.37253933]]",0.97,4,-1.4698264044527178,-2.533389917423033
Img_093_20200904_060100.jpg,"[[ 814.66860465  383.59302326   79.37253933]
 [ 819.21019108  577.59235669   79.37253933]
 [1011.75333333  381.72666667   79.37253933]
 [1014.18243243  576.07432432   79.37253933]]",0.97,4,-1.4571496493954648,-2.5722204156052264
Img_093_20200904_070100.jpg,"[[ 814.875       384.04375      79.37253933]
 [1014.09933775  576.32450331   79.37253933]
 [ 819.05755396  577.8705036    79.37253933]
 [1011.15753425  381.89726027   79.37253933]]",0.97,4,-1.3576548850853278,-2.7245634856600596
Img_093_20200904_080100.jpg,"[[ 815.52229299  384.50955414   79.37253933]
 [ 819.91724138  578.85517241   79.37253933]
 [1012.60150376  382.20300752   79.37253933]
 [1015.15328467  577.18978102   79.37253933]]",0.97,4,-1.3517181934722071,-2.4562047237882894
Img_093_20200904_090100.jpg,"[[ 816.10204082  385.36734694   79.37253933]
 [1016.06569343  578.15328467   79.37253933]
 [ 821.01408451  579.88732394   79.37253933]
 [1013.31060606  383.45454545   79.37253933]]",0.97,4,-1.1303956200079064,-2.520869052818897
Img_093_20200904_100100.jpg,"[[1018.36        579.86         79.37253933]
 [ 822.32515337  580.95705521   79.37253933]
 [1015.44666667  384.07333333   79.37253933]
 [ 818.05405405  386.16891892   79.37253933]]",0.97,4,-1.0096126497182727,-2.2038853936697773
Img_093_20200904_110100.jpg,"[[1016.66442953  385.82550336   79.37253933]
 [ 818.54362416  387.52348993   79.37253933]
 [1019.85806452  580.58709677   79.37253933]
 [ 823.42168675  581.77108434   79.37253933]]",0.97,4,-0.9475973660251498,-2.245957971401001
